variance,skewness,curtosis,entropy,class
-1.3885,12.5026,0.69118,-7.5487,0
-5.1216,-5.3118,10.3846,-1.0612,1
-1.1022,-5.8395,4.5641,0.68705,1
2.805,0.57732,1.3424,1.2133,0
3.8999,1.734,1.6011,0.96765,0
-2.0759,10.8223,2.6439,-4.837,0
0.3292,-4.4552,4.5718,-0.9888,0
0.49665,5.527,1.7785,-0.47156,0
-1.9983,-6.6072,4.8254,-0.41984,1
4.6562,7.6398,-2.4243,-1.2384,0
-0.90784,-7.9026,6.7807,0.34179,1
2.614,8.0081,-3.7258,-1.3069,0
-0.092194,0.39315,-0.32846,-0.13794,1
3.4667,-4.0724,4.2882,1.5418,0
4.7432,2.1086,0.1368,1.6543,0
-2.341,12.3784,0.70403,-7.5836,0
2.4673,1.3926,1.7125,0.41421,0
2.6213,5.7919,0.065686,-1.5759,0
-1.3907,-1.3781,2.3055,-0.021566,1
2.2091,7.4556,-1.3284,-3.3021,0
-0.025314,-0.17383,-0.11339,1.2198,1
4.1665,-0.4449,0.23448,0.27843,0
4.616,10.1788,-4.2185,-4.4245,0
1.9647,6.9383,0.57722,0.66377,0
-1.8974,3.5074,-1.7842,-3.8491,1
1.0194,1.1029,-2.3,0.59395,1
2.9736,8.7944,-3.6359,-1.3754,0
1.0637,3.6957,-4.1594,-1.9379,1
-5.4414,7.2363,0.10938,-7.5642,1
0.9297,-3.7971,4.6429,-0.2957,0
-1.7589,-6.4624,8.4773,0.31981,1
-0.83535,0.80494,-1.6411,-0.19225,1
2.5581,2.6218,1.8513,0.40257,0
2.3952,9.5083,-3.1783,-3.0086,0
3.7818,-2.8846,2.2558,-0.15734,0
5.032,8.2026,-2.6256,-1.0341,0
3.0934,-2.9177,2.2232,0.22283,0
2.9695,5.6222,0.27561,-1.1556,0
-2.3629,-0.10554,1.9336,1.1358,1
1.5456,8.5482,0.4187,-2.1784,0
0.11739,6.2761,-1.5495,-2.4746,0
5.1129,-0.49871,0.62863,1.1189,0
0.9297,-3.7971,4.6429,-0.2957,0
1.6408,4.2503,-4.9023,-2.6621,1
2.0466,2.03,2.1761,-0.083634,0
0.24261,0.57318,-1.9402,0.44007,1
3.0329,2.2948,2.1135,0.35084,0
-0.9854,-6.661,5.8245,0.5461,1
-6.7387,6.9879,0.67833,-7.5887,1
-0.41645,0.32487,-0.33617,-0.36036,1
3.5594,1.3078,1.291,1.6556,0
0.26517,2.4066,-2.8416,-0.59958,1
5.0297,-4.9704,3.5025,-0.23751,0
2.0193,0.82356,4.6369,1.4202,0
-1.4106,-7.108,5.6454,0.31335,1
1.581,0.86909,-2.3138,0.82412,1
-2.8833,1.7713,0.68946,-0.4638,1
2.6606,3.1681,1.9619,0.18662,0
3.8584,0.78425,1.1033,1.7008,0
-2.2677,3.2964,-2.2563,-2.4642,1
-0.24745,1.9368,-2.4697,-0.80518,1
-1.7697,3.4329,-1.2144,-2.3789,1
-3.8826,4.898,-0.92311,-5.0801,1
1.0009,7.7846,-0.28219,-2.6608,0
-1.7582,2.7397,-2.5323,-2.234,1
1.7317,-0.34765,4.1905,-0.99138,0
-3.9698,3.6812,-0.60008,-4.0133,1
-2.2527,11.5321,2.5899,-3.2737,0
-6.2815,6.6651,0.52581,-7.0107,1
4.4072,-0.070365,2.0416,1.1319,0
2.1881,2.7356,1.3278,-0.1832,0
-1.8046,-6.8141,6.7019,1.1681,1
4.3937,0.35798,2.0416,1.2004,0
-1.3389,1.552,7.0806,1.031,0
2.4235,9.5332,-3.0789,-2.7746,0
-4.1244,3.7909,-0.6532,-4.1802,1
0.90407,3.3708,-4.4987,-3.6965,1
-0.56877,1.4174,-1.4252,-1.1246,1
-3.3924,3.3564,-0.72004,-3.5233,1
0.24394,1.4733,-1.4192,-0.58535,1
4.6765,-3.3895,3.4896,1.4771,0
2.2634,-4.4862,3.6558,-0.61251,0
4.9852,8.3516,-2.5425,-1.2823,0
1.3049,-0.15521,6.4911,-0.75346,0
-2.456,-0.24418,1.4041,-0.45863,1
1.0607,2.4542,2.5188,-0.17027,0
-1.0744,-6.3113,5.355,0.80472,1
-6.3679,8.0102,0.4247,-3.2207,1
4.9362,7.6046,-2.3429,-0.85302,0
-2.1674,0.12415,-1.0465,-0.86208,1
-0.70346,2.957,-3.5947,-3.1457,1
0.49571,10.2243,-1.097,-4.0159,0
-2.7419,11.4038,2.5394,-5.5793,0
3.5152,6.8224,-0.67377,-0.46898,0
1.8664,7.7763,-0.23849,-2.9634,0
3.866,-2.6383,1.9242,0.10645,0
2.8232,10.8513,-3.1466,-3.9784,0
0.52374,3.644,-4.0746,-1.9909,1
6.0919,2.9673,-1.3267,1.4551,0
-4.0214,-12.8006,15.6199,-0.95647,1
2.8033,9.0862,-3.3668,-1.0224,0
3.6289,0.81322,1.6277,0.77627,0
2.6682,10.216,-3.4414,-4.0069,0
3.2294,7.7391,-0.37816,-2.5405,0
1.1518,1.3864,5.2727,-0.43536,0
-0.69572,8.6165,1.8419,-4.3289,0
-3.9204,4.0723,-0.23678,-2.1151,1
4.6054,-4.0765,2.7587,0.31981,0
0.50813,0.47799,-1.9804,0.57714,1
3.9719,1.0367,0.75973,1.0013,0
-2.8619,4.5193,-0.58123,-4.2629,1
1.6032,-4.7863,8.5193,-2.1203,0
-1.6952,1.0657,8.8294,0.94955,0
-2.3221,-9.3304,9.233,-0.79871,1
-3.1273,-7.1121,11.3897,-0.083634,1
-0.49948,1.7734,-2.2469,-0.68104,1
-2.6286,0.18002,1.7956,0.97282,1
-3.5985,-13.6593,17.6052,-2.4927,1
2.2596,-0.033118,4.7355,-0.2776,0
2.2526,9.9636,-3.1749,-2.9944,0
0.3292,-4.4552,4.5718,-0.9888,0
-0.21394,-0.68287,0.096532,1.1965,1
3.8832,6.4023,-2.432,-0.98363,0
3.8384,6.1851,-2.0439,-0.033204,0
3.6077,6.8576,-1.1622,0.28231,0
3.8417,10.0215,-4.2699,-4.9159,0
0.96574,8.393,-1.361,-1.4659,0
-3.7573,-8.2916,10.3032,0.38059,1
2.0051,-6.8638,8.132,-0.2401,0
1.4896,3.4288,-4.0309,-1.4259,1
4.0026,-3.5943,3.5573,0.26809,0
1.594,4.7055,1.3758,0.081882,0
2.6648,10.754,-3.3994,-4.1685,0
-2.2083,-9.1069,8.9991,-0.28406,1
-2.234,-7.0314,7.4936,0.61334,1
1.9265,7.7557,-0.16823,-3.0771,0
2.9719,6.8369,-0.2702,0.71291,0
-1.6029,-0.38903,1.62,1.9103,1
-1.7549,-0.080711,-0.75774,-0.3707,1
-2.5346,-0.77392,3.3602,0.00171,1
3.4663,1.1112,1.7425,1.3388,0
3.2704,6.9321,-1.0456,0.23447,0
-1.9555,0.20692,1.2473,-0.3707,1
2.4012,1.6223,3.0312,0.71679,0
-2.7143,11.4535,2.1092,-3.9629,0
-1.9409,-8.6848,9.155,0.94049,1
2.8261,9.4007,-3.3034,-1.0509,0
-2.343,12.9516,3.3285,-5.9426,0
-0.74324,-0.32902,-0.42785,0.23317,1
5.6084,10.3009,-4.8003,-4.3534,0
4.5707,7.2094,-3.2794,-1.4944,0
-3.2051,-0.14279,0.97565,0.045675,1
3.8969,7.4163,-1.8245,0.14007,0
4.2027,0.22761,0.96108,0.97282,0
1.04,-6.9321,8.2888,-1.2991,0
-1.7063,2.7956,-2.378,-2.3491,1
3.9166,10.2491,-4.0926,-4.4659,0
-1.0112,2.9984,-1.1664,-1.6185,1
0.64215,3.1287,4.2933,0.64696,0
1.934,-9.2828e-06,4.816,-0.33967,0
0.23874,2.0879,-3.3522,-0.66553,1
3.9364,10.5885,-3.725,-4.3133,0
4.0632,3.584,0.72545,0.39481,0
3.966,3.9213,0.70574,0.33662,0
0.75108,1.9161,-3.1098,-0.20518,1
-2.4198,-0.24418,0.70146,0.41809,1
4.6352,-3.0087,2.6773,1.212,0
-0.30432,2.6528,-2.7756,-0.65647,1
0.87256,9.2931,-0.7843,-2.1978,0
1.4806,7.6377,-2.7876,-1.0341,0
0.33565,6.8369,0.69718,-0.55691,0
2.3164,-2.628,3.1529,-0.08622,0
-2.258,-9.3263,9.3727,-0.85949,1
-1.3,10.2678,-2.953,-5.8638,0
2.9163,10.8306,-3.3437,-4.122,0
-1.5572,-9.8808,8.1088,-1.0806,1
-2.5701,-6.8452,8.9999,2.1353,1
0.39012,-0.14279,-0.031994,0.35084,1
-0.55008,2.8659,-1.6488,-2.4319,1
3.6667,4.302,0.55923,0.33791,0
-1.2244,1.7485,-1.4801,-1.4181,1
-0.40804,0.54214,-0.52725,0.6586,1
-2.7028,1.6327,0.83598,-0.091393,1
4.7285,2.1065,-0.28305,1.5625,0
-4.1958,-8.1819,12.1291,-1.6017,1
0.30081,0.17381,-1.7542,0.48921,1
-2.6685,-10.4519,9.1139,-1.7323,1
5.0617,-0.35799,0.44698,0.99868,0
4.6464,10.5326,-4.5852,-4.206,0
-2.1234,1.1815,-0.55552,-0.81165,1
0.68087,2.3259,4.9085,0.54998,0
-1.4446,2.1438,-0.47241,-1.6677,1
2.888,0.44696,4.5907,-0.24398,0
1.8216,-6.4748,8.0514,-0.41855,0
0.58982,7.4266,1.2353,-2.9595,0
-1.1667,-1.4237,2.9241,0.66119,1
0.049175,6.1437,1.7828,-0.72113,0
2.1319,-2.0403,2.5574,-0.061652,0
3.6216,8.6661,-2.8073,-0.44699,0
1.3087,4.9228,2.0013,0.22024,0
-0.036127,1.525,-1.4089,-0.76121,1
5.7227,5.8312,-2.4097,-0.24527,0
-0.28696,3.1784,-3.5767,-3.1896,1
3.3577,-4.3062,6.0241,0.18274,0
-2.0285,3.8468,-0.63435,-1.175,1
4.364,-3.1039,2.3757,0.78532,0
-3.551,1.8955,0.1865,-2.4409,1
1.2572,4.8731,-5.2861,-5.8741,1
-0.96511,9.4111,1.7305,-4.8629,0
0.2346,-4.5152,2.1195,1.4448,1
1.3638,-4.7759,8.4182,-1.8836,0
0.77124,9.0862,-1.2281,-1.4996,0
-0.81479,-5.7381,4.3919,0.3211,1
-5.3012,7.3915,0.029699,-7.3987,1
5.0185,8.5978,-2.9375,-1.281,0
-1.7344,2.0175,7.7618,0.93532,0
2.2504,3.5757,0.35273,0.2836,0
-1.5252,-6.2534,5.3524,0.59912,1
-2.6864,-0.097265,0.61663,0.061192,1
0.56953,7.6294,1.5754,-3.2233,0
-5.3857,9.1214,-0.41929,-5.9181,1
-2.9098,-10.0712,8.4156,-1.9948,1
1.7875,4.78,-5.1362,-3.2362,1
-3.4083,4.8587,-0.76888,-4.8668,1
-2.9662,-10.3257,8.784,-2.1138,1
0.11806,0.39108,-0.98223,0.42843,1
-2.1786,-6.4479,6.0344,-0.20777,1
-2.7083,-6.8266,7.5339,0.59007,1
-5.4808,8.1819,0.27818,-5.0323,1
1.0284,9.767,-1.3687,-1.7853,0
-0.98193,2.7956,-1.2341,-1.5668,1
-1.0555,0.79459,-1.6968,-0.46768,1
-2.5919,-1.0553,3.8949,0.77757,1
-3.0193,1.7775,0.73745,-0.45346,1
-1.3414,-2.0776,2.8093,0.60688,1
-2.5754,-5.6574,6.103,0.65214,1
2.4486,-6.3175,7.9632,0.20602,0
-2.121,-0.05588,1.949,1.353,1
-2.1059,1.1815,-0.53324,-0.82716,1
-2.3675,-0.43663,1.692,-0.43018,1
2.9856,7.2673,-0.409,-2.2431,0
-1.6001,-9.5828,9.4044,0.081882,1
4.1038,-4.8069,3.3491,-0.49225,0
1.9157,6.0816,0.23705,-2.0116,0
1.7425,3.6833,-4.0129,-1.7207,1
5.0214,8.0764,-3.0515,-1.7155,0
4.6689,1.3098,0.055404,1.909,0
-2.3142,2.0838,-0.46813,-1.6767,1
-2.5961,-9.349,9.7942,-0.28018,1
4.2478,7.6956,-2.7696,-1.0767,0
3.5862,-3.0957,2.8093,0.24481,0
4.068,-2.9363,2.1992,0.50084,0
-2.0897,10.8265,2.3603,-3.4198,0
0.5195,-3.2633,3.0895,-0.9849,0
-6.0598,9.2952,-0.43642,-6.3694,1
5.3586,3.7557,-1.7345,1.0789,0
-2.3147,3.6668,-0.6969,-1.2474,1
2.1943,4.5503,-4.976,-2.7254,1
-0.89542,2.0279,-2.3652,-1.2746,1
3.4893,6.69,-1.2042,-0.38751,0
3.6277,0.9829,0.68861,0.63403,0
-0.39816,5.9781,1.3912,-1.1621,0
1.9321,6.0423,0.26019,-2.053,0
-0.94255,0.039307,-0.24192,0.31593,1
4.2164,9.4607,-4.9288,-5.2366,0
-0.29858,2.4769,-2.9512,-0.66165,1
2.5367,2.599,2.0938,0.20085,0
5.8519,5.3905,-2.4037,-0.061652,0
0.91315,3.3377,-4.0557,-1.6741,1
4.0948,-2.9674,2.3689,0.75429,0
-4.8861,7.0542,-0.17252,-6.959,1
5.3915,9.9946,-3.8081,-3.3642,0
4.9294,0.27727,0.20792,0.33662,0
3.9232,-3.2467,3.4579,0.83705,0
-2.3797,-1.4402,1.1273,0.16076,1
-2.0066,-6.719,9.0162,0.099985,1
1.2746,8.8172,-1.5323,-1.7957,0
1.0182,9.109,-0.62064,-1.7129,0
5.2012,0.32694,0.17965,1.1797,0
-1.1313,1.9037,7.5339,1.022,0
4.8851,1.5995,-0.00029081,1.6401,0
-0.21661,8.0329,1.8848,-3.8853,0
0.75736,3.0294,2.9164,-0.068117,0
-2.0754,1.2767,-0.64206,-1.2642,1
0.5706,-0.0248,1.2421,-0.5621,0
-5.4901,9.1048,-0.38758,-5.9763,1
-2.8391,-6.63,10.4849,-0.42113,1
-1.2537,10.8803,1.931,-4.3237,0
4.8272,3.0687,0.68604,0.80731,0
-4.2859,8.5234,3.1392,-0.91639,0
-4.2091,4.7283,-0.49126,-5.2159,1
-0.16108,-6.4624,8.3573,-1.5216,0
0.66018,10.3878,-1.4029,-3.9151,0
3.106,9.5414,-4.2536,-4.003,0
1.1315,7.9212,1.093,-2.8444,0
4.0552,-2.4583,2.2806,1.0323,0
1.4479,-4.8794,8.3428,-2.1086,0
-3.7244,1.9037,-0.035421,-2.5095,1
2.486,-0.99533,5.3404,-0.15475,0
2.2893,3.733,0.6312,-0.39786,0
3.3848,3.2674,0.90967,0.25128,0
0.58836,10.7727,-1.3884,-4.3276,0
4.0552,0.40143,1.4563,0.65343,0
-1.4174,-2.2535,1.518,0.61981,1
5.086,3.2798,-1.2701,1.1189,0
0.94732,-0.57113,7.1903,-0.67587,0
-0.071503,3.7412,-4.5415,-4.2526,1
3.245,6.63,-0.63435,0.86937,0
3.8197,8.9951,-4.383,-4.0327,0
0.0096613,3.5612,-4.407,-4.4103,1
-1.0116,-0.19038,-0.90597,0.003003,1
-4.8392,6.6755,-0.24278,-6.5775,1
-0.9607,2.6963,-3.1226,-1.3121,1
0.84546,3.4826,-3.6307,-1.3961,1
0.39559,6.8866,1.0588,-0.67587,0
-2.2617,-4.7428,6.3489,0.11162,1
2.6719,3.0646,0.37158,0.58619,0
-1.4233,-0.98912,2.3586,0.39481,1
3.5288,0.71596,1.9507,1.9375,0
2.3066,3.5364,0.57551,0.41938,0
-1.0401,9.3987,0.85998,-5.3336,0
4.5459,8.1674,-2.4586,-1.4621,0
4.2458,1.1981,0.66633,0.94696,0
0.5415,6.0319,1.6825,-0.46122,0
5.591,10.4643,-4.3839,-4.3379,0
4.0446,11.1741,-4.3582,-4.7401,0
-3.8073,-8.0971,10.1772,0.65084,1
-2.0149,3.6874,-1.9385,-3.8918,1
2.9499,2.2493,1.3458,-0.037083,0
0.025013,3.3998,-4.4327,-4.2655,1
-1.3931,1.5664,7.5382,0.78403,0
-2.7908,-5.7133,5.953,0.45946,1
-1.6244,-6.3444,4.6575,0.16981,1
0.22432,-0.52147,-0.40386,1.2017,1
3.4669,6.87,-1.0568,-0.73147,0
3.7352,9.5911,-3.9032,-3.3487,0
1.7748,-0.76978,5.5854,1.3039,0
0.57461,10.1105,-1.6917,-4.3922,0
3.4916,8.5709,-3.0326,-0.59182,0
-1.7279,-6.841,8.9494,0.68058,1
4.2586,11.2962,-4.0943,-4.3457,0
0.25035,9.3262,-3.6873,-6.2543,0
3.8027,0.81529,2.1041,1.0245,0
3.3951,1.1484,2.1401,2.0862,0
4.3435,3.3295,0.83598,0.64955,0
2.4226,-4.5752,5.947,0.21507,0
0.86816,10.2429,-1.4912,-4.0082,0
3.8962,-4.7904,3.3954,-0.53751,0
1.9818,9.2621,-3.521,-1.872,0
-2.4824,-7.3046,6.839,-0.59053,1
3.9433,2.5017,1.5215,0.903,0
0.81356,9.1566,-2.1492,-4.1814,0
3.7022,6.9942,-1.8511,-0.12889,0
3.6894,9.887,-4.0788,-4.3664,0
2.8209,7.3108,-0.81857,-1.8784,0
-1.979,3.2301,-1.3575,-2.5819,1
1.1558,6.4003,1.5506,0.6961,0
1.6426,3.0149,0.22849,-0.147,0
-2.4941,3.5447,-1.3721,-2.8483,1
0.65497,5.1815,1.0673,-0.42113,0
1.5514,3.8013,-4.9143,-3.7483,1
2.2123,-5.8395,7.7687,-0.85302,0
-1.8584,7.886,-1.6643,-1.8384,0
3.4647,-3.9172,3.9746,0.36119,0
4.5691,-4.4552,3.1769,0.0042961,0
2.1464,6.0795,-0.5778,-2.2302,0
0.15423,0.11794,-1.6823,0.59524,1
1.3183,1.9017,-3.3111,0.065071,1
-0.26654,-0.64562,-0.42014,0.89136,1
3.4642,10.6878,-3.4071,-4.109,0
-3.8167,5.1401,-0.65063,-5.4306,1
0.38251,6.8121,1.8128,-0.61251,0
-1.3,10.2678,-2.953,-5.8638,0
3.8496,9.7939,-4.1508,-4.4582,0
3.4985,3.1639,0.22677,-0.1651,0
1.4578,-0.08485,4.1785,0.59136,0
2.5678,3.5136,0.61406,-0.40691,0
2.8521,9.171,-3.6461,-1.2047,0
-4.4775,-13.0303,17.0834,-3.0345,1
1.5631,0.89599,-1.9702,0.65472,1
1.4507,8.7903,-2.2324,-0.65259,0
4.4069,10.9072,-4.5775,-4.4271,0
-1.5681,-7.2446,6.5537,-0.1276,1
0.5734,9.1938,-0.9094,-1.872,0
5.1776,8.2316,-3.2511,-1.5694,0
1.7257,-4.4697,8.2219,-1.8073,0
-3.3553,0.35591,2.6473,-0.37846,1
3.9899,-2.7066,2.3946,0.86291,0
-1.4275,11.8797,0.41613,-6.9978,0
0.55939,-0.3104,0.18307,0.44653,1
2.1721,-0.73874,5.4672,-0.72371,0
5.1731,3.9606,-1.983,0.40774,0
-2.564,-1.7051,1.5026,0.32757,1
-0.52645,-0.24832,-0.45613,0.41938,1
2.3925,9.798,-3.0361,-2.8224,0
5.9374,6.1664,-2.5905,-0.36553,0
1.5902,2.2948,3.2403,0.18404,0
3.4359,0.66216,2.1041,1.8922,0
5.0452,3.8964,-1.4304,0.86291,0
3.2303,7.8384,-3.5348,-1.2151,0
4.8077,2.2327,-0.26334,1.5534,0
0.44125,2.9487,4.3225,0.7155,0
2.5635,6.7769,-0.61979,0.38576,0
0.54777,10.3754,-1.5435,-4.1633,0
3.8644,3.7061,0.70403,0.35214,0
-0.69745,-1.7672,-0.34474,-0.12372,1
3.7321,-3.884,3.3577,-0.0060486,0
-2.3361,11.9604,3.0835,-5.4435,0
-6.5773,6.8017,0.85483,-7.5344,1
-0.83121,0.039307,0.05369,-0.23105,1
4.0215,-2.7004,2.4957,0.36636,0
0.93611,8.6413,-1.6351,-1.3043,0
